ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
mm1537	chr1:113584294-113587139	LOC100996251(intragenic)	chr1:113041672-113044517	chr3:104344457-104346594	Lrig2-Slc16a1	chr3:104540534-104542671
hs2638	chr1:11533228-11534362	UBIAD1-PTCHD2	chr1:11473171-11474305	chr4:147667119-147667813	Ptchd2-Ubiad1	chr4:148293010-148293704
mm93	chr1:116334984-116336373	CASQ2-NHLH2	chr1:115792363-115793752	chr3:101865977-101867575	Nhlh2-Casq2	chr3:102062054-102063652
mm1055	chr1:116785339-116798457	MAB21L3-ATP1A1	chr1:116242717-116255835	chr3:101515666-101519278	Atp1a1-Mab21l3	chr3:101711743-101715355
mm164	chr1:118155572-118156297	FAM46C(intragenic)	chr1:117612950-117613675	chr3:100286276-100286861	Fam46c(intragenic)	chr3:100482353-100482938
mm97	chr1:118201046-118206903	FAM46C-GDAP2	chr1:117658424-117664281	chr3:100241120-100244013	4930406D18Rik-Fam46c	chr3:100437197-100440090
hs2272	chr1:11847301-11852413	MTHFR(intragenic)	chr1:11787244-11792356	chr4:147427712-147432729	Mthfr(intragenic)	chr4:148053603-148058620
hs1428	chr1:119028026-119029955	SPAG17-TBX15	chr1:118485403-118487332	chr3:99469238-99471067	Tbx15-Spag17	chr3:99665315-99667144
hs2123	chr1:11906876-11908666	NPPA-NPPB	chr1:11846819-11848609	chr4:147374034-147375676	Nppb-Clcn6	chr4:147999925-148001567
hs2124	chr1:11940877-11944112	NPPB-KIAA2013	chr1:11880820-11884055	chr4:147339354-147347055	2510039O18Rik-Nppb	chr4:147965245-147972946
hs499	chr1:119452558-119453594	TBX15(intragenic)	chr1:118909935-118910971	chr3:99134529-99135492	Tbx15(intragenic)	chr3:99330606-99331569
hs2125	chr1:11945528-11949490	NPPB-KIAA2013	chr1:11885471-11889433	chr4:147336358-147338651	2510039O18Rik-Nppb	chr4:147962249-147964542
mm888	chr1:119520490-119524368	TBX15(intragenic)	chr1:118977867-118981745	chr3:99063702-99067487	Tbx15(intragenic)	chr3:99259779-99263564
mm890	chr1:119548771-119557007	TBX15-WARS2	chr1:119006148-119014384	chr3:99036850-99040479	Wars2-Tbx15	chr3:99232927-99236556
hs2126	chr1:147220710-147225901	ACP6-GJA5	chr1:147748578-147753770	chr3:96861723-96867470	Gja5-Acp6	chr3:97057800-97063547
hs2341	chr1:151474074-151475374	POGZ-CGN	chr1:151501598-151502898			
mm1415	chr1:155080534-155084338	EFNA3-EFNA1	chr1:155108058-155111862	chr3:89094112-89097133	Efna1-Efna3	chr3:89290190-89293211
hs2127	chr1:156059426-156062550	LMNA(intragenic)	chr1:156089635-156092759	chr3:88328705-88331892	Lmna-Mex3a	chr3:88524783-88527970
hs2128	chr1:156065479-156069043	LMNA(intragenic)	chr1:156095688-156099252	chr3:88322139-88327288	Lmna-Mex3a	chr3:88518217-88523366
hs2129	chr1:156072303-156076849	LMNA(intragenic)	chr1:156102512-156107058	chr3:88313603-88318489	Lmna-Mex3a	chr3:88509681-88514567
mm474	chr1:156360199-156361386	RHBG-C1orf61	chr1:156390407-156391594	chr3:88042154-88043297	Mir9-1-Rhbg	chr3:88238232-88239375
mm19	chr1:156472500-156475405	MEF2D-IQGAP3	chr1:156502708-156505613	chr3:87942027-87944987	Iqgap3-Mef2d	chr3:88138105-88141065
hs1891	chr1:156630249-156635284	BCAN-NES	chr1:156660457-156665492	chr3:87786547-87790798	Nes-Bcan	chr3:87982625-87986876
mm1712	chr1:157971751-157973083	KIRREL(intragenic)	chr1:158001961-158003293	chr3:86968794-86970111	Kirrel(intragenic)	chr3:87164872-87166189
mm1616	chr1:157988435-157990752	KIRREL(intragenic)	chr1:158018645-158020962	chr3:86953474-86955925	Kirrel(intragenic)	chr3:87149552-87152003
mm1677	chr1:160378730-160382204	VANGL2(intragenic)	chr1:160408940-160412414	chr1:173945900-173948913	Vangl2(intragenic)	chr1:172015769-172018782
mm316	chr1:16175203-16176288	SPEN(intragenic)	chr1:15848708-15849793	chr4:141092676-141093774	Spen(intragenic)	chr4:141536761-141537859
hs1156	chr1:163359231-163360494	NUF2-LOC100422212	chr1:163389441-163390704	chr1:171406803-171408138	Pbx1-Nuf2	chr1:169476672-169478007
hs762	chr1:163441941-163442842	LOC100422212-PBX1	chr1:163472151-163473052	chr1:171315525-171316428	Pbx1-Nuf2	chr1:169385394-169386297
hs1185	chr1:163507965-163509139	LOC100422212-PBX1	chr1:163538175-163539349	chr1:171273830-171275322	Pbx1-Nuf2	chr1:169343699-169345191
hs201	chr1:163939700-163940637	LOC100422212-PBX1	chr1:163970463-163971400	chr1:170921225-170922187	Pbx1-Nuf2	chr1:168991094-168992056
hs202	chr1:164023244-164024214	LOC100422212-PBX1	chr1:164054007-164054977	chr1:170838536-170839518	Pbx1-Nuf2	chr1:168908405-168909387
hs1230	chr1:164197827-164199172	LOC100422212-PBX1	chr1:164228590-164229935	chr1:170691099-170693241	Pbx1-Nuf2	chr1:168760968-168763110
hs1202	chr1:164604141-164605474	PBX1(intragenic)	chr1:164634904-164636237	chr1:170287224-170288666	Pbx1(intragenic)	chr1:168357093-168358535
hs1235	chr1:164620038-164621164	PBX1(intragenic)	chr1:164650801-164651927	chr1:170271728-170272964	Pbx1(intragenic)	chr1:168341597-168342833
hs203	chr1:164637575-164639037	PBX1(intragenic)	chr1:164668338-164669800	chr1:170257202-170258628	Pbx1(intragenic)	chr1:168327071-168328497
hs1144	chr1:164668592-164669823	PBX1(intragenic)	chr1:164699355-164700586	chr1:170229895-170231111	Pbx1(intragenic)	chr1:168299764-168300980
hs970	chr1:164672787-164674206	PBX1(intragenic)	chr1:164703550-164704969	chr1:170224922-170226868	Pbx1(intragenic)	chr1:168294791-168296737
hs1136	chr1:164700259-164701522	PBX1(intragenic)	chr1:164731022-164732285	chr1:170198703-170199987	Pbx1(intragenic)	chr1:168268572-168269856
hs1191	chr1:164805507-164806794	LOC100505795-LMX1A	chr1:164836270-164837557	chr1:170098750-170100204	Pbx1(intragenic)	chr1:168168619-168170073
mm757	chr1:167134197-167138268	DUSP27-RBSG4	chr1:167164960-167169031	chr1:167977609-167981010	Pou2f1-Dusp27	chr1:166047478-166050879
hs1331	chr1:167296954-167299046	POU2F1(intragenic)	chr1:167327717-167329809	chr1:167864365-167866438	Pou2f1-Dusp27	chr1:165934234-165936307
mm1657	chr1:168342341-168346671	TBX19-LOC100505918	chr1:168373103-168377433	chr1:167034424-167036436	4930568G15Rik-Tbx19	chr1:165104293-165106305
hs1442	chr1:169910396-169913079	KIFAP3(intragenic)	chr1:169941255-169943938	chr1:165827352-165829949	Kifap3(intragenic)	chr1:163897221-163899818
mm713	chr1:171251045-171253976	FMO1(intragenic)	chr1:171281906-171284837	chr1:164760588-164764098	Fmo1(intragenic)	chr1:162830457-162833967
mm1708	chr1:172104372-172105988	DNM3-DNM3OS	chr1:172135232-172136848	chr1:164155416-164156865	Mir214-Mettl13	chr1:162225285-162226734
mm1618	chr1:172149036-172152392	MIR199A2-C1orf105	chr1:172179896-172183252	chr1:164115642-164118955	2810442N19Rik-Dnm3os	chr1:162185511-162188824
mm712	chr1:172290886-172294269	MIR199A2-C1orf105	chr1:172321746-172325129	chr1:164004162-164007691	2810442N19Rik-Dnm3os	chr1:162074031-162077560
mm1369	chr1:177225029-177230671	BRINP2(intragenic)	chr1:177255893-177261535	chr1:160195598-160198177	Fam5b(intragenic)	chr1:158265467-158268046
hs2534	chr1:178505089-178507211	TEX35-C1orf220	chr1:178535954-178538076	chr1:159010632-159012663	Angptl1-1700057K13Rik	chr1:157080501-157082532
mm1694	chr1:181118450-181122869	IER5-GM140	chr1:181149314-181153733	chr1:156885959-156888862	Cacna1e-Ier5	chr1:155038829-155041732
hs1862	chr1:181121049-181123654	IER5-GM140	chr1:181151913-181154518	chr1:156885742-156887787	Cacna1e-Ier5	chr1:155038612-155040657
mm153	chr1:182204702-182205756	GS1-122H1.2(intragenic)	chr1:182235567-182236621	chr1:155880986-155881987	Glul-Zfp648	chr1:154033856-154034857
mm8	chr1:18473083-18476025	IGSF21(intragenic)	chr1:18146589-18149531	chr4:139774060-139775558	Igsf21(intragenic)	chr4:140218145-140219643
mm1730	chr1:18619424-18625159	IGSF21(intragenic)	chr1:18292930-18298665	chr4:139658785-139661609	Igsf21(intragenic)	chr4:140102870-140105694
mm484	chr1:18716386-18717923	IGSF21-KLHDC7A	chr1:18389892-18391429	chr4:139566833-139568188	Klhdc7a-Igsf21	chr4:140010918-140012273
hs1780	chr1:188376723-188378052	PLA2G4A-BRINP3	chr1:188407592-188408921	chr1:150329280-150330395	Fam5c-Pla2g4a	chr1:148482150-148483265
hs1702	chr1:18958671-18960284	PAX7(intragenic)	chr1:18632177-18633790	chr4:139386689-139388293	Pax7(intragenic)	chr4:139830774-139832378
mm1506	chr1:19250076-19254470	IFFO2(intragenic)	chr1:18923582-18927976	chr4:139153356-139157251	Iffo2(intragenic)	chr4:139597441-139601336
hs1322	chr1:198263562-198265742	NEK7(intragenic)	chr1:198294432-198296612	chr1:140395736-140397908	Nek7(intragenic)	chr1:138499159-138501331
hs1443	chr1:198339402-198341607	NEK7-ATP6V1G3	chr1:198370272-198372477	chr1:140302065-140303908	Atp6v1g3-Nek7	chr1:138405488-138407331
mm1732	chr1:199475898-199477436	LINC01222-NR5A2	chr1:199506770-199508308	chr1:139274730-139276059	Nr5a2-Mir181a-1	chr1:137378153-137379482
hs2542	chr1:201323367-201328049	PKP1-TNNT2	chr1:201354239-201358921	chr1:137748920-137753200	Tnnt2-Pkp1	chr1:135852343-135856623
hs2572	chr1:201958827-201961258	RNPEP(intragenic)	chr1:201989699-201992130	chr1:137171192-137173843	Rnpep(intragenic)	chr1:135274615-135277266
mm562	chr1:202053906-202054835	ELF3-GPR37L1	chr1:202084778-202085707	chr1:137095626-137096526	Gpr37l1-Elf3	chr1:135199049-135199949
mm1445	chr1:203291478-203297081	BTG2-FMOD	chr1:203322350-203327953	chr1:135957131-135962749	Fmod-Btg2	chr1:134060554-134066172
hs2404	chr1:203660971-203662806	ATP2B4(intragenic)	chr1:203691843-203693678	chr1:135640804-135642296	Atp2b4(intragenic)	chr1:133744227-133745719
mm112	chr1:203904265-203909112	SNRPE-LINC00303	chr1:203935137-203939984	chr1:135445890-135447463	Sox13-Snrpe	chr1:133549313-133550886
mm573	chr1:203963887-203966935	SNRPE-LINC00303	chr1:203994759-203997807	chr1:135388446-135390638	Sox13-Snrpe	chr1:133491869-133494061
hs2279	chr1:204261217-204266185	PLEKHA6(intragenic)	chr1:204292089-204297057	chr1:135133369-135138468	Ppp1r15b-Plekha6	chr1:133236792-133241891
mm1460	chr1:204318526-204323221	PLEKHA6(intragenic)	chr1:204349398-204354093	chr1:135082557-135086070	Ppp1r15b-Plekha6	chr1:133185980-133189493
mm971	chr1:204325819-204330103	PLEKHA6-LINC00628	chr1:204356691-204360975	chr1:135077245-135080794	Ppp1r15b-Plekha6	chr1:133180668-133184217
hs1368	chr1:204423958-204424935	PIK3C2B(intragenic)	chr1:204454830-204455807	chr1:134976470-134977499	Pik3c2b(intragenic)	chr1:133079893-133080922
mm505	chr1:205269698-205272137	TMCC2-KLHDC8A	chr1:205300570-205303009	chr1:134229247-134231039	Nuak2-Tmcc2	chr1:132332670-132334462
mm1734	chr1:20803452-20804941	LINC01141-CAMK2N1	chr1:20476959-20478448	chr4:138018742-138020284	Camk2n1-Vwa5b1	chr4:138462827-138464369
mm935	chr1:209663057-209663962	MIR205-CAMK1G	chr1:209489712-209490617	chr1:195275523-195276379	Camk1g-Mir205	chr1:193449329-193450185
hs932	chr1:209989050-209989824	IRF6-DIEXF	chr1:209815705-209816479	chr1:194967242-194967917	Diexf-Irf6	chr1:193141048-193141723
mm433	chr1:210409845-210410773	SERTAD4(intragenic)	chr1:210236500-210237428	chr1:194677834-194678651	Sertad4-Syt14	chr1:192851640-192852457
hs1617	chr1:210433698-210437258	SERTAD4-HHAT	chr1:210260353-210263913	chr1:194648170-194652146	Hhat-1700065J18Rik	chr1:192821976-192825952
mm1213	chr1:210435028-210436766	SERTAD4-HHAT	chr1:210261683-210263421	chr1:194648549-194650114	Hhat-1700065J18Rik	chr1:192822355-192823920
mm618	chr1:210461389-210462350	SERTAD4-HHAT	chr1:210288044-210289005	chr1:194632518-194633287	Hhat-1700065J18Rik	chr1:192806324-192807093
mm646	chr1:210464411-210467294	SERTAD4-HHAT	chr1:210291066-210293949	chr1:194624287-194626894	Hhat-1700065J18Rik	chr1:192798093-192800700
mm430	chr1:210474512-210475693	SERTAD4-HHAT	chr1:210301167-210302348	chr1:194615787-194617278	Hhat-1700065J18Rik	chr1:192789593-192791084
mm617	chr1:210484379-210484987	SERTAD4-HHAT	chr1:210311034-210311642	chr1:194610509-194611183	Hhat-1700065J18Rik	chr1:192784315-192784989
hs2634	chr1:210899498-210900917	KCNH1(intragenic)	chr1:210726156-210727575	chr1:194296120-194297334	Kcnh1(intragenic)	chr1:192472238-192473452
hs2532	chr1:212697966-212699818	NENF-ATF3	chr1:212524624-212526476	chr1:193069084-193070971	Atf3-Nenf	chr1:191245205-191247092
hs2089	chr1:212704746-212707293	NENF-ATF3	chr1:212531404-212533951	chr1:193062893-193065596	Atf3-Nenf	chr1:191239014-191241717
hs1324	chr1:213498112-213501134	RPS6KC1-LINC00538	chr1:213324769-213327791	chr1:192551182-192554052	Prox1-Rps6kc1	chr1:190727303-190730173
hs204	chr1:213597964-213599524	RPS6KC1-LINC00538	chr1:213424621-213426181	chr1:192477619-192479001	Prox1-Rps6kc1	chr1:190653740-190655122
mm318	chr1:2142309-2144864	C1orf86-SKI	chr1:2210870-2213425	chr4:154608788-154610276	Ski-2610002J02Rik	chr4:155234679-155236167
hs2357	chr1:214280595-214282080	PROX1-SMYD2	chr1:214107252-214108737	chr1:191885201-191886210	Smyd2-Prox1	chr1:190061322-190062331
mm119	chr1:215429770-215431136	KCNK2-KCTD3	chr1:215256427-215257793	chr1:191011153-191012480	Kctd3-Kcnk2	chr1:189187274-189188601
hs366	chr1:215888921-215890374	USH2A(intragenic)	chr1:215715579-215717032	chr1:190707722-190709130	Ush2a(intragenic)	chr1:188883843-188885251
hs175	chr1:216772416-216773458	ESRRG(intragenic)	chr1:216599074-216600116	chr1:189942825-189943355	9330162B11Rik-Ush2a	chr1:188118946-188119476
mm111	chr1:216988024-216989478	ESRRG-GPATCH2	chr1:216814682-216816136	chr1:189731408-189732935	Esrrg(intragenic)	chr1:187907529-187909056
hs734	chr1:217766122-217767351	GPATCH2(intragenic)	chr1:217592780-217594009	chr1:189072156-189073348	Gpatch2(intragenic)	chr1:187248277-187249469
hs1257	chr1:218207432-218208498	LINC00210-LOC101929631	chr1:218034090-218035156	chr1:188746189-188747384	Rrp15-D1Pas1	chr1:186922310-186923505
hs1255	chr1:218222277-218224086	LOC101929631(intragenic)	chr1:218048935-218050744	chr1:188732195-188733956	Rrp15-D1Pas1	chr1:186908316-186910077
hs2536	chr1:218631917-218634863	TGFB2-LOC643723	chr1:218458575-218461521	chr1:188432416-188435577	Lyplal1-Tgfb2	chr1:186608537-186611698
mm1082	chr1:218640024-218645312	TGFB2-LOC643723	chr1:218466682-218471970	chr1:188422844-188425846	Lyplal1-Tgfb2	chr1:186598965-186601967
mm1053	chr1:218645991-218648589	TGFB2-LOC643723	chr1:218472649-218475247	chr1:188411390-188414852	Lyplal1-Tgfb2	chr1:186587511-186590973
hs1663	chr1:221906778-221908480	DUSP10(intragenic)	chr1:221733436-221735138	chr1:185865151-185866660	Dusp10(intragenic)	chr1:184041272-184042781
mm134	chr1:221906793-221908482	DUSP10(intragenic)	chr1:221733451-221735140	chr1:185865149-185866641	Dusp10(intragenic)	chr1:184041270-184042762
mm1517	chr1:223262208-223276057	DISP1-TLR5	chr1:223088866-223102715	chr1:184911995-184914445	Tlr5-1700056E22Rik	chr1:182981864-182984314
mm24	chr1:224689616-224693995	MIR4742-CNIH3	chr1:224501914-224506293	chr1:183186068-183189794	Wdr26-Cnih3	chr1:181255937-181259663
hs2374	chr1:225954390-225955885	ENAH-SRP9	chr1:225766688-225768183	chr1:184040093-184042184	Enah-Srp9	chr1:182109962-182112053
hs2131	chr1:227014699-227016924	ITPKB-IT1-PSEN2	chr1:226826998-226829223	chr1:182198625-182199487	Psen2-Gm5069	chr1:180268494-180269356
hs2132	chr1:227106400-227109773	PSEN2-ADCK3	chr1:226918699-226922072	chr1:182138184-182142680	Adck3-Psen2	chr1:180208053-180212549
hs2052	chr1:230280348-230284066	GALNT2(intragenic)	chr1:230144601-230148319	chr8:126804049-126806009	Galnt2(intragenic)	chr8:124280149-124282109
mm1520	chr1:230357688-230359479	GALNT2(intragenic)	chr1:230221942-230223733	chr8:126837343-126839907	Galnt2(intragenic)	chr8:124313443-124316007
hs2133	chr1:230886439-230890074	CAPN9(intragenic)	chr1:230750693-230754328	chr8:127109545-127112318	Capn9(intragenic)	chr8:124585645-124588418
mm1665	chr1:230984522-230987276	C1orf198(intragenic)	chr1:230848776-230851530	chr8:127166812-127169652	2310022B05Rik(intragenic)	chr8:124642912-124645752
hs1766	chr1:230984523-230987981	C1orf198(intragenic)	chr1:230848777-230852235	chr8:127167602-127169798	2310022B05Rik(intragenic)	chr8:124643702-124645898
mm1494	chr1:23124531-23130451	MIR4684-MIR4253	chr1:22798038-22803958	chr4:136310237-136314716	Ephb2(intragenic)	chr4:136754322-136758801
mm1749	chr1:231824030-231827696	DISC1(intragenic)	chr1:231688284-231691950	chr8:127607264-127608820	Disc1(intragenic)	chr8:125083364-125084920
mm149	chr1:232090699-232102180	DISC2-SIPA1L2	chr1:231954953-231966434	chr8:127740943-127743751	Disc1(intragenic)	chr8:125217043-125219851
hs1714	chr1:232753930-232757436	SIPA1L2-LOC101927683	chr1:232618184-232621690	chr8:128081635-128083884	Sipa1l2-4930567H12Rik	chr8:125557735-125559984
mm495	chr1:234678748-234680700	LOC100506795-IRF2BP2	chr1:234543002-234544954	chr8:129060288-129061592	Gm17296-Irf2bp2	chr8:126536388-126537692
mm1295	chr1:234858830-234861263	LINC00184-TOMM20	chr1:234723083-234725516	chr8:129189321-129191656	Irf2bp2-Tomm20	chr8:126665421-126667756
mm1464	chr1:235092275-235095570	LINC01132-TOMM20	chr1:234956528-234959823	chr8:129349433-129352469	Irf2bp2-Tomm20	chr8:126825533-126828569
mm1376	chr1:236579604-236588112	EDARADD(intragenic)	chr1:236416304-236424812	chr13:12594345-12597146	Edaradd(intragenic)	chr13:12502078-12504879
hs2134	chr1:236802183-236804214	HEATR1-ACTN2	chr1:236638883-236640914	chr13:12458095-12462694	Actn2-Heatr1	chr13:12365828-12370427
hs2135	chr1:236851383-236853715	ACTN2(intragenic)	chr1:236688083-236690415	chr13:12429267-12431436	Actn2(intragenic)	chr13:12337000-12339169
hs2136	chr1:236910038-236910629	ACTN2(intragenic)	chr1:236746738-236747329	chr13:12375950-12376428	Actn2(intragenic)	chr13:12283683-12284161
hs2137	chr1:237160612-237163517	MTR-MT1HL1	chr1:236997312-237000217	chr13:12223785-12226187	Ryr2-Gm10336	chr13:12131518-12133920
hs2138	chr1:237174518-237176845	MT1HL1-RYR2	chr1:237011218-237013545	chr13:12217039-12220847	Ryr2-Gm10336	chr13:12124772-12128580
hs2139	chr1:237192467-237195956	MT1HL1-RYR2	chr1:237029167-237032656	chr13:12206231-12207593	Ryr2-Gm10336	chr13:12113964-12115326
hs545	chr1:243876467-243877893	AKT3(intragenic)	chr1:243713165-243714591	chr1:179080168-179081586	Akt3(intragenic)	chr1:177150037-177151455
hs214	chr1:243895796-243896468	AKT3(intragenic)	chr1:243732494-243733166	chr1:179101361-179102030	Akt3(intragenic)	chr1:177171230-177171899
hs476	chr1:244217325-244218426	ZBTB18(intragenic)	chr1:244054023-244055124	chr1:179377455-179378556	Zfp238(intragenic)	chr1:177447324-177448425
hs2070	chr1:246469251-246471350	SMYD3(intragenic)	chr1:246305949-246308048			
mm1332	chr1:25090509-25093858	CLIC4(intragenic)	chr1:24764018-24767367	chr4:134812881-134816704	Clic4(intragenic)	chr4:135256966-135260789
mm1648	chr1:25095027-25097988	CLIC4(intragenic)	chr1:24768536-24771497	chr4:134809382-134812065	Clic4(intragenic)	chr4:135253467-135256150
mm23	chr1:25173706-25175106	CLIC4-RUNX3	chr1:24847215-24848615	chr4:134761760-134763122	Runx3-Clic4	chr4:135205845-135207207
hs2271	chr1:26419853-26424743	TRIM63-PDIK1L	chr1:26093362-26098252	chr4:133848612-133850231	Pdik1l-Trim63	chr4:134292697-134294316
hs569	chr1:27049620-27050905	ARID1A(intragenic)	chr1:26723129-26724414	chr4:133284966-133286220	Arid1a(intragenic)	chr4:133729051-133730305
mm1090	chr1:2771620-2772857	TTC34-ACTRT2	chr1:2855055-2856292	chr4:154176010-154177259	Actrt2-Ttc34	chr4:154801901-154803150
mm334	chr1:27830474-27832177	WASF2-AHDC1	chr1:27503963-27505666	chr4:132672507-132674339	Ahdc1-Wasf2	chr4:133116592-133118424
mm1628	chr1:27848440-27851048	WASF2-AHDC1	chr1:27521929-27524537	chr4:132645535-132647962	Ahdc1-Wasf2	chr4:133089620-133092047
mm1089	chr1:2791438-2794208	TTC34-ACTRT2	chr1:2874873-2877643	chr4:154160848-154162811	Actrt2-Ttc34	chr4:154786739-154788702
mm1088	chr1:2805871-2809644	TTC34-ACTRT2	chr1:2889306-2893079	chr4:154145214-154146454	Actrt2-Ttc34	chr4:154771105-154772345
mm1492	chr1:2883701-2887710	TTC34-ACTRT2	chr1:2967136-2971146	chr4:154081524-154085271	Actrt2-Ttc34	chr4:154707415-154711162
mm80	chr1:29209713-29213404	OPRD1-EPB41	chr1:28883201-28886892	chr4:131631431-131635142	Epb4.1-Oprd1	chr4:132075516-132079227
mm1387	chr1:29272100-29276852	EPB41(intragenic)	chr1:28945588-28950340	chr4:131588028-131592067	Epb4.1(intragenic)	chr4:132032113-132036152
mm1560	chr1:3026979-3031142	PRDM16(intragenic)	chr1:3110415-3114578	chr4:153967503-153970504	Prdm16(intragenic)	chr4:154593394-154596395
mm1087	chr1:3164123-3167025	MIR4251-ARHGEF16	chr1:3247559-3250461	chr4:153845537-153848227	Prdm16(intragenic)	chr4:154471428-154474118
hs705	chr1:3190581-3191428	MIR4251-ARHGEF16	chr1:3274017-3274864	chr4:153830403-153831276	Prdm16(intragenic)	chr4:154456294-154457167
hs2275	chr1:3237396-3240369	MIR4251-ARHGEF16	chr1:3320832-3323805	chr4:153789157-153792469	Prdm16(intragenic)	chr4:154415048-154418360
hs2274	chr1:3244561-3248729	MIR4251-ARHGEF16	chr1:3327997-3332165	chr4:153783833-153787060	Prdm16(intragenic)	chr4:154409724-154412951
hs645	chr1:32510030-32510913	KHDRBS1-TMEM39B	chr1:32044429-32045312	chr4:129390710-129391581	Khdrbs1(intragenic)	chr4:129713466-129714337
hs1912	chr1:3262093-3266365	MIR4251-ARHGEF16	chr1:3345529-3349801	chr4:153767474-153771235	Prdm16(intragenic)	chr4:154393365-154397126
hs2512	chr1:3337000-3341930	MIR4251-ARHGEF16	chr1:3420436-3425366	chr4:153703078-153706419	Prdm16(intragenic)	chr4:154328969-154332310
hs917	chr1:33722494-33723960	ZNF362(intragenic)	chr1:33256893-33258359	chr4:128481590-128483033	Zfp362(intragenic)	chr4:128804346-128805789
mm1705	chr1:33803073-33805027	MIR3605-ZSCAN20	chr1:33337472-33339426	chr4:128413899-128415669	Phc2(intragenic)	chr4:128736655-128738425
mm1684	chr1:33828786-33831142	MIR3605-ZSCAN20	chr1:33363185-33365541	chr4:128391658-128394259	Phc2(intragenic)	chr4:128714414-128717015
hs1388	chr1:33828789-33830947	MIR3605-ZSCAN20	chr1:33363188-33365346	chr4:128392095-128394214	Phc2(intragenic)	chr4:128714851-128716970
hs1105	chr1:38494689-38495688	UTP11L-POU3F1	chr1:38029017-38030016	chr4:124349193-124350187	Pou3f1-Utp11l	chr4:124671949-124672943
hs238	chr1:38560194-38561606	MIR3659-LOC339442	chr1:38094522-38095934	chr4:124292651-124294055	4933407E24Rik-Pou3f1	chr4:124615408-124616812
hs1124	chr1:38627529-38629265	MIR3659-LOC339442	chr1:38161857-38163593	chr4:124228289-124229428	1700057H15Rik-4933407E24Rik	chr4:124551046-124552185
hs1179	chr1:38656780-38657626	MIR3659-LOC339442	chr1:38191108-38191954	chr4:124203543-124204381	1700057H15Rik-4933407E24Rik	chr4:124526300-124527138
hs790	chr1:38662809-38664040	MIR3659-LOC339442	chr1:38197137-38198368	chr4:124197374-124198608	1700057H15Rik-4933407E24Rik	chr4:124520131-124521365
hs1001	chr1:38712075-38713517	LOC339442-RRAGC	chr1:38246403-38247845	chr4:124154699-124156497	1700057H15Rik(intragenic)	chr4:124477456-124479254
hs2088	chr1:38728185-38732516	LOC339442-RRAGC	chr1:38262513-38266844	chr4:124135545-124138740	1700057H15Rik(intragenic)	chr4:124458302-124461497
hs1008	chr1:38735942-38737376	LOC339442-RRAGC	chr1:38270270-38271704	chr4:124132320-124133599	1700057H15Rik(intragenic)	chr4:124455077-124456356
hs1098	chr1:38791998-38793333	LOC339442-RRAGC	chr1:38326326-38327661	chr4:124078945-124080260	Rragc-1700057H15Rik	chr4:124401702-124403017
hs270	chr1:38801888-38802630	LOC339442-RRAGC	chr1:38336216-38336958	chr4:124072592-124073340	Rragc-1700057H15Rik	chr4:124395349-124396097
